slug,name,category,cpi_name,unit
fraises-454g,Fraises 454g,Fruits frais,Fraises fraîches,454g
bananes,Bananes,Fruits frais,Bananes,1kg
bleuets-frais,Bleuets frais,Fruits frais,Bleuets frais,170g
pommes,Pommes,Fruits frais,Pommes,3lb
oranges,Oranges,Fruits frais,Oranges,4lb
raisins-frais,Raisins frais,Fruits frais,Raisins frais,1kg
ananas,Ananas,Fruits frais,Ananas,1u
cantaloup,Cantaloup,Fruits frais,Cantaloup,1u
avocats,Avocats,Fruits frais,Avocats,1u
poires-fraiches,Poires fraîches,Fruits frais,Poires fraîches,1kg
mandarines,Mandarines,Fruits frais,Mandarines,2lb
pamplemousse,Pamplemousse,Fruits frais,Pamplemousse,1u
citron,Citron,Fruits frais,Citron,1u
framboises-fraiches,Framboises fraîches,Fruits frais,Framboises fraîches,170g
tomates-fraiches,Tomates fraîches,Légumes frais,Tomates fraîches (diverses variétés),1kg
concombre,Concombre,Légumes frais,Concombre,1u
carottes,Carottes,Légumes frais,Carottes,2lb
brocoli,Brocoli,Légumes frais,Brocoli,1u
laitue-iceberg,Laitue Iceberg,Légumes frais,Laitue Iceberg,1u
laitue-romaine,Laitue romaine,Légumes frais,Laitue romaine,1u
oignons,Oignons,Légumes frais,Oignons,3lb
celeri,Céleri,Légumes frais,Céleri,1u
poivrons-verts,Poivrons verts,Légumes frais,Poivrons verts,1u
poivrons-rouges,Poivrons rouges,Légumes frais,Poivrons rouges,1u
pommes-de-terre,Pommes de terre,Légumes frais,Pommes de terre,5lb
patates-douces,Patates douces,Légumes frais,Patates douces/ignames,1kg
champignons-blancs,Champignons blancs frais,Légumes frais,Champignons blancs frais,227g
chou,Chou,Légumes frais,Chou,1u
chou-fleur,Chou-fleur,Légumes frais,Chou-fleur,1u
asperges-fraiches,Asperges fraîches,Légumes frais,Asperges fraîches,1lb
haricots-verts-frais,Haricots verts frais,Légumes frais,Haricots verts frais,1lb
ail-frais,Ail frais,Légumes frais,Ail frais,1u
navets,Navets,Légumes frais,Navets/rutabagas,1u
salade-emballee,Salade emballée,Légumes frais,Salade emballée,312g
boeuf-hache,Bœuf haché,Viandes fraîches,Bœuf haché,1kg
bifteck-contre-filet,Bifteck de contre-filet,Viandes fraîches,Bifteck de contre-filet,1kg
bifteck-surlonge,Bifteck de surlonge,Viandes fraîches,Bifteck de surlonge,1kg
bifteck-interieur-ronde,Bifteck d'intérieur de ronde,Viandes fraîches,Bifteck d'intérieur de ronde,1kg
boeuf-a-ragout,Bœuf à ragoût,Viandes fraîches,Bœuf à ragoût,1kg
roti-cote-boeuf,Rôti de côte de bœuf,Viandes fraîches,Rôti de côte de bœuf,1kg
roti-palette-boeuf,Rôti de palette de bœuf,Viandes fraîches,Rôti de palette de bœuf,1kg
porc-hache,Porc haché,Viandes fraîches,Porc haché,1kg
cotelettes-longe-porc,Côtelettes de longe de porc,Viandes fraîches,Côtelettes de longe de porc,1kg
cotelettes-porc,Côtelettes de porc,Viandes fraîches,Côtelettes de porc,1kg
roti-epaule-porc,Rôti d'épaule de porc,Viandes fraîches,Rôti d'épaule de porc,1kg
roti-longe-porc,Rôti de longe de porc,Viandes fraîches,Rôti de longe de porc,1kg
poulet-entier,Poulet entier,Viandes fraîches,Poulet entier,1u
poitrine-poulet,Poitrine de poulet,Viandes fraîches,Poitrine de poulet,1kg
pilons-poulet,Pilons de poulet,Viandes fraîches,Pilons de poulet,1kg
haut-cuisses-poulet,Haut de cuisses de poulet,Viandes fraîches,Haut de cuisses de poulet,1kg
ailes-poulet-surgelees,Ailes de poulet surgelées,Viandes fraîches,Ailes de poulet surgelées,1kg
dinde-entiere,Dinde entière,Viandes fraîches,Dinde entière,1u
dinde-hachee,Dinde hachée,Viandes fraîches,Dinde hachée,450g
gigot-agneau,Gigot d'agneau rôti,Viandes fraîches,Gigot d'agneau rôti,1kg
saucisse-porc,Saucisse de porc,Viandes fraîches,Saucisse de porc,450g
jambon,Jambon,Viandes fraîches,Jambon,1kg
tranches-bacon,Tranches de bacon,Charcuteries,Tranches de bacon,375g
tranches-jambon-cuit,Tranches de jambon cuit,Charcuteries,Tranches de jambon cuit emballées,175g
tranches-viande-cuite,Tranches de viande cuite,Charcuteries,Tranches de viande cuite emballées,175g
saucisses-fumees,Saucisses fumées,Charcuteries,Saucisses fumées,375g
saucisse-salami,Saucisse de salami,Charcuteries,Saucisse de salami,175g
pate-foie,Pâté de foie,Charcuteries,Pâté de foie d'animaux en conserve,150g
filets-saumon-frais,Filets de saumon frais,Poissons et fruits de mer,Filets de saumon frais,1kg
truite,Truite,Poissons et fruits de mer,Truite fraîche ou surgelée,1kg
filets-aiglefin-surgeles,Filets d'aiglefin surgelés,Poissons et fruits de mer,Filets d'aiglefin surgelés,400g
filets-morue-surgeles,Filets de morue surgelés,Poissons et fruits de mer,Filets de morue surgelés,400g
filets-sole-surgeles,Filets de sole surgelés,Poissons et fruits de mer,Filets de sole surgelés,400g
filets-tilapia,Filets de tilapia,Poissons et fruits de mer,Filets de tilapia,400g
filets-poisson-panes,Filets de poisson panés,Poissons et fruits de mer,Filets de poisson panés,700g
batonets-poisson,Bâtonnets de poisson surgelés,Poissons et fruits de mer,Bâtonnets de poisson surgelés,700g
crevettes-surgelees-crues,Crevettes surgelées crues,Poissons et fruits de mer,Crevettes surgelées (crues),400g
crevettes-surgelees-cuites,Crevettes surgelées cuites,Poissons et fruits de mer,Crevettes surgelées (cuites),340g
petoncles,Pétoncles,Poissons et fruits de mer,Pétoncles,340g
saumon-conserve,Saumon en conserve,Poissons et fruits de mer,Saumon en conserve,213g
thon-conserve,Thon en conserve,Poissons et fruits de mer,Thon en conserve,170g
saumon-fume,Saumon fumé,Poissons et fruits de mer,Saumon fumé,150g
lait-homogenise,Lait homogénéisé,Produits laitiers,Lait homogénéisé,2L
lait-2pct-2l,Lait 2% 2L,Produits laitiers,Lait partiellement écrémé,2L
lait-chocolat,Lait au chocolat,Produits laitiers,Lait au chocolat,1L
lait-amande,Lait d'amande,Produits laitiers,Lait d'amande,1.89L
lait-avoine,Lait d'avoine,Produits laitiers,Lait d'avoine,1.89L
beurre-454g,Beurre 454g,Produits laitiers,Beurre,454g
margarine,Margarine,Produits laitiers,Margarine,454g
creme-sure,Crème sure,Produits laitiers,Crème sure,500ml
creme-glacee,Crème glacée,Produits laitiers,Crème glacée,1.5L
creme-glacee-individuelle,Crème glacée individuelle,Produits laitiers,Crème glacée individuelle,1u
creme-a-cafe,Crème à café,Produits laitiers,Crème à café,473ml
fromage-cheddar,Fromage cheddar,Produits laitiers,Fromage cheddar,400g
