product_slug,store_slug,url,use_playwright,parser
fraises-454g,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/baies-et-cerises/fraises/p/665290001184,true,superc
fraises-454g,maxi-default,https://www.maxi.ca/fr/fraises-1-lb/p/20049778001_EA,true,maxi
fraises-454g,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/baies-et-cerises/fraises/p/665290001184,true,metro
fraises-454g,iga-default,https://www.iga.ca/fr/produits/fraises-454-g,false,iga
bananes,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/bananes-et-plantains/banane/p/4011,true,superc
bananes,maxi-default,https://www.maxi.ca/fr/bananes-grappe/p/20175355001_KG,true,maxi
bananes,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/bananes-et-plantains/banane/p/4011,true,metro
bananes,iga-default,https://www.iga.ca/fr/produits/banane-1-groupe-(5---6),false,iga
bleuets-frais,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/baies-et-cerises/chopine-de-bleuets/p/033383200170,true,superc
bleuets-frais,maxi-default,https://www.maxi.ca/fr/bleuets-demi-pinte/p/20152465001_EA,true,maxi
bleuets-frais,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/baies-et-cerises/chopine-de-bleuets/p/033383200170,true,metro
bleuets-frais,iga-default,https://www.iga.ca/fr/produits/bleuets-chopine-1-un,false,iga
pommes,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/pommes-et-poires/sac-de-pommes/p/059749854641,true,superc
pommes,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/pommes-et-poires/sac-de-pommes/p/059749854641,true,metro
oranges,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/agrumes/oranges-navel/p/033383119427,true,superc
oranges,maxi-default,https://www.maxi.ca/fr/orange-sac-de-3-lb/p/20162945001_EA,true,maxi
oranges,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/agrumes/oranges-navel/p/033383119427,true,metro
oranges,iga-default,https://www.iga.ca/fr/produits/oranges-sac-1%252E36-kg,false,iga
raisins-frais,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/raisins/raisins-rouges-sans-pepins/p/4023,true,superc
raisins-frais,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/raisins/raisins-rouges-sans-pepins/p/4023,true,metro
raisins-frais,iga-default,https://www.iga.ca/fr/produits/raisins-rouge-de-qualit%C3%A9-superieur-908-g,false,iga
ananas,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/avocats-et-fruits-exotiques/ananas/p/4430,true,superc
ananas,maxi-default,https://www.maxi.ca/fr/ananas/p/20160992001_EA,true,maxi
ananas,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/avocats-et-fruits-exotiques/ananas/p/4430,true,metro
ananas,iga-default,https://www.iga.ca/fr/produits/ananas-dor%C3%A9-1-un,false,iga
cantaloup,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/melons-d-eau-et-melons/cantaloup-jumbo/p/4050,true,superc
cantaloup,maxi-default,https://www.maxi.ca/fr/cantaloup/p/20167017001_EA,true,maxi
cantaloup,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/melons-d-eau-et-melons/cantaloup-jumbo/p/4050,true,metro
cantaloup,iga-default,https://www.iga.ca/fr/produits/cantaloup-gros-1-un,false,iga
avocats,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/avocats-et-fruits-exotiques/avocat-hass/p/4770,true,superc
avocats,maxi-default,https://www.maxi.ca/fr/avocats/p/21097012001_EA,true,maxi
avocats,iga-default,https://www.iga.ca/fr/produits/avocat-hass-de-l-ouest-1-un,false,iga
poires-fraiches,superc-default,https://www.superc.ca/allees/fruits-et-legumes/fruits/pommes-et-poires/poire-bartlett/p/4409,true,superc
poires-fraiches,maxi-default,https://www.maxi.ca/fr/poires-bartlett/p/20172240001_KG,true,maxi
poires-fraiches,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/pommes-et-poires/poire-bartlett/p/4409,true,metro
brocoli,superc-default,https://www.superc.ca/allees/fruits-et-legumes/legumes/brocolis-choux-et-choux-fleurs/brocoli/p/4060,true,superc
brocoli,maxi-default,https://www.maxi.ca/fr/brocoli/p/20145621001_EA,true,maxi
brocoli,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/legumes/brocolis-choux-et-choux-fleurs/brocoli/p/4060,true,metro
brocoli,iga-default,https://www.iga.ca/fr/produits/brocoli-1-un,false,iga
avocats,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/fruits-et-legumes/fruits/avocats-et-fruits-exotiques/avocat/p/4770,true,metro
poires-fraiches,iga-default,https://www.iga.ca/fr/produits/poire-bartlett-907-g,false,iga
boeuf-hache,superc-default,https://www.superc.ca/allees/viandes-et-volailles/boeuf-et-veau/viandes-hachees/boeuf-hache-mi-maigre/p/201021,true,superc
boeuf-hache,maxi-default,https://www.maxi.ca/fr/b-uf-hach-mi-maigre-format-club/p/20048901_KG,true,maxi
boeuf-hache,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/viandes-et-volailles/boeuf-et-veau/viandes-hachees/boeuf-hache-mi-maigre/p/201021,true,metro
boeuf-hache,iga-default,https://www.iga.ca/fr/produits/mi-maigre-format-familial-boeuf-hach%C3%A9,false,iga
poitrine-poulet,superc-default,https://www.superc.ca/allees/viandes-et-volailles/poulet-et-dinde/poitrines/poitrines-de-poulet-desossees-sans-peau/p/201918,true,superc
poitrine-poulet,maxi-default,https://www.maxi.ca/fr/poitrine-de-poulet-d-soss-e-et-sans-peau-format-cl/p/21617062_KG,true,maxi
poitrine-poulet,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/viandes-et-volailles/poulet-et-dinde/poitrines/poitrine-de-poulet-paree-et-desossee/p/206146,true,metro
poitrine-poulet,iga-default,https://www.iga.ca/fr/produits/d%C3%A9soss%C3%A9e-par%C3%A9e-format-familial-poitrine-de-poulet,false,iga
lait-2pct-2l,superc-default,https://www.superc.ca/allees/produits-laitiers-et-oeufs/laits-cremes-et-beurres/laits-entiers-et-2/lait-2/p/055872025019,true,superc
lait-2pct-2l,maxi-default,https://www.maxi.ca/fr/2-milk-2l/p/20126157_EA,true,maxi
lait-2pct-2l,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/produits-laitiers-et-oeufs/laits-cremes-et-beurres/laits-entiers-et-2/lait-2/p/055300110010,true,metro
beurre-454g,superc-default,https://www.superc.ca/allees/produits-laitiers-et-oeufs/laits-cremes-et-beurres/beurres-et-margarines/beurre-sale/p/059749894784,true,superc
beurre-454g,maxi-default,https://www.maxi.ca/fr/beurre-sal/p/20325029_EA,true,maxi
beurre-454g,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/produits-laitiers-et-oeufs/laits-cremes-et-beurres/beurres-et-margarines/beurre-sale/p/059749894784,true,metro
beurre-454g,iga-default,https://www.iga.ca/fr/produits/compliments-beurre-sal%C3%A9-454-g,false,iga
pommes,maxi-default,https://www.maxi.ca/fr/pommes-gala-sac-de-4-lb/p/20767998001_EA,true,maxi
pommes,iga-default,https://www.iga.ca/fr/produits/compliments-pommes-mcintosh-1%252E81-kg,false,iga
raisins-frais,maxi-default,https://www.maxi.ca/fr/raisins-rouges-sans-p-pins/p/20159199001_KG,true,maxi
lait-2pct-2l,iga-default,https://www.iga.ca/fr/produits/natrel-lait-2---finement-filtr%C3%A9--2-l,false,iga
oeufs-gros-12,superc-default,https://www.superc.ca/allees/produits-laitiers-et-oeufs/fromages-emballes/fromages-cottage-et-ricotta/gros-oeufs/p/059749896054,true,superc
oeufs-gros-12,maxi-default,https://www.maxi.ca/fr/gros-ufs-de-cat-gorie-a/p/20812144001_EA,true,maxi
oeufs-gros-12,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/produits-laitiers-et-oeufs/oeufs/oeufs-entiers/gros-oeufs/p/059749896054,true,metro
oeufs-gros-12,iga-default,https://www.iga.ca/fr/produits/compliments-oeufs-blancs-gros-12-un,false,iga
pain-blanc-675g,superc-default,https://www.superc.ca/allees/pains-et-patisseries/pains-emballes/blancs/pain-blanc-ultra-moelleux/p/061077771200,true,superc
pain-blanc-675g,maxi-default,https://www.maxi.ca/fr/pain-sandwich-superclub-blanc-ultra-moelleux/p/20102967_EA,true,maxi
pain-blanc-675g,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/pains-et-patisseries/pains-emballes/blancs/pain-blanc-tranche-epais/p/068721003502,true,metro
pain-blanc-675g,iga-default,https://www.iga.ca/fr/produits/pom-pain-blanc-ultra-moelleux-superclub-pour-sandwich-675-g,false,iga
pates-seches-900g,superc-default,https://www.superc.ca/allees/garde-manger/pates-riz-et-feves/pates/pates-fusilli/p/059749893152,true,superc
pates-seches-900g,maxi-default,https://www.maxi.ca/fr/rotini/p/20315613004_EA,true,maxi
pates-seches-900g,metro-default,https://www.metro.ca/epicerie-en-ligne/allees/garde-manger/pates-riz-et-feves/pates/pates-fusilli/p/055900001244,true,metro
pates-seches-900g,iga-default,https://www.iga.ca/fr/produits/compliments-p%C3%A2tes-alimentaires-fusilli-900-g,false,iga
